key,en,ru,uk,pl,th
area.unit,m2,м2,м2,m2,ตรม.
area.million,km2,км2,км2,km2,ตร.กม.
people.one,person,человек,людина,człowiek,
people.other,people,человека,людини,ludzie,คน
date_placeholder.mask,dd/mm/yyyy,dd.mm.yyyy,dd.mm.yyyy,dd/mm/yyyy,ดด/วว/ปปปป
date_placeholder.local,dd/mm/yyyy,дд.мм.гггг,дд.мм.рррр,dd/mm/rrrr,ดด/วว/ปปปป
timeago.inPast,expired,время вышло,час минув,czas upłynął,หมดอายุ
timeago.prefixAgo,"","","","",""
timeago.prefixFromNow,"","","","",""
timeago.suffixAgo,"","","","",""
timeago.suffixFromNow,"","","","",""
timeago.seconds,less than a minute,меньше минуты,менше хвилини,mniej niż minutę,ไม่ถึงนาที
timeago.minute,about a minute,минута,хвилина,minutę,หนึ่งนาที
timeago.minutes,%d minutes,"%d минута,%d минуты,%d минут","%d хвилина,%d хвилини,%d хвилин","%d minuty,%d minut,%d minut",%d นาที
timeago.hour,about an hour,час,година,godzinę,หนึ่งชั่วโมง
timeago.hours,about %d hours,"%d час,%d часа,%d часов","%d година,%d години,%d годин","%d godziny,%d godzin,%d godzin",%d ชั่วโมง
timeago.day,a day,день,день,dzień,หนึ่งวัน
timeago.days,%d days,"%d день,%d дня,%d дней","%d день,%d дні,%d днів","%d dni,%d dni,%d dni",%d วัน
error_handlers.payment_error,"Sorry, there was an error while trying to process your payment","К сожалению, оплата не удалась.",Оплата не вдалася,Płatność nie powiodła się,ขออภัยด้วยค่ะ การชำระเงินของท่านล้มเหลว หรือเกิดข้อผิดพลาดขึ้นในขั้นตอนชำระเงิน
error_handlers.ticketing_error,"Sorry, we were not able to issue you a ticket. Please expect the funds paid to be refunded to your card within 5 days",Не удалось выписать билет. Денежные средства будут возвращены на карту в течении 5 дней,Не вдалось виписати квиток. Кошти будуть повернуті на карту протягом 5 днів,Operacja wypisania biletu nie powiodła się. Kwota zostanie zwrócona na kartę w ciągu 5 dni,ขออภัยในความไม่สะดวกค่ะ ระบบไม่สามารถออกตั๋วให้ท่านได้ ระบบจะคืนเงินกลับไปที่บัตรของท่านภายใน 5 วัน
error_handlers.auth_code_rate_limit_error,Too many auth code requests,Вы слишком много раз запросили код,У вас забагато спроб отримати код,Zbyt wiele razy poprosiłeś o kod,
sms.with_billing_code,%{code} ticket payment code %{direction} at %{domain}. You need to pay till %{pay_till},%{code} - код оплаты билетов %{direction} на %{domain}. Необходимо оплатить до %{pay_till},%{code} - код оплати квитків %{direction} на %{domain}. Необхідно сплатити до %{pay_till},%{code} - kod płatności za bilety %{direction} na %{domain}. Należy dokonać płatności do dnia %{pay_till},%{code} รหัสยืนยันการชำระตั๋ว%{direction} ที่ %{domain} กรุณาชำระเงินก่อน %{pay_till}
sms.auth_code,%{code} - verification code for Busfor,%{code} - код для Busfor,%{code} - код для Busfor,%{code} - kod dla Busfor,%{code} - รหัสยืนยันสำหรับ Busfor
sms.success_sell,Tickets for order %{order_ref} have been issued. You can download your tickets at %{domain} in My tickets section. Have a nice trip!,Билеты для заказа %{order_ref} выписаны. Вы можете скачать их на %{domain} в разделе Мои билеты. Приятной поездки!,Квитки для замовлення %{order_ref} виписані. Ви можете завантажити їх на %{domain} в розділі Мої квитки. Вдалої поїздки!,Bilety na zamówienie %{order_ref} są gotowe. Pobierz je na %{domain} w zakładce Moje bilety. Życzymy przyjemnej podróży!,รายการจองตั๋ว %{order_ref} ได้รับการยืนยันแล้ว คุณสามารถดาวน์โหลดตั๋วได้ที่ %{domain} ในหน้าตั๋วของฉัน ขอบคุณที่ใช้บริการกับทิกเก็ตส์ค่ะ
etc.in,in,в,о,w ciągu,ใน
etc.company_name,Busfor,Busfor,,,
etc.team_name,%{company_name} team,Команда %{company_name},Команда %{company_name},%{company_name} zespół,%{company_name} team
etc.back,Go back,Вернуться назад,Назад,Wstecz,กลับหน้าเดิม
etc.phone_input_country,gb,ru,ua,pl,
etc.read_more,Read more,Подробнее,Детальніше,Więcej szczegółów,อ่านเพิ่มเติม
etc.more,More,Еще,Ще,Kolejne,เพิ่มเติม
etc.hrs,hrs,ч.,год.,godz.,ชม.
etc.mts,min,м.,хв.,min.,นาที
etc.today,today,сегодня,сьогодні,dziś,วันนี้
etc.tomorrow,tomorrow,завтра,завтра,jutro,พรุ่งนี้
etc.from,from,от,від,z,จาก
etc.passengers.one,%{count} passenger,%{count} пассажир,%{count} пасажир,%{count} pasażer,ผู้โดยสาร %{count} ท่าน
etc.passengers.few,%{count} passengers,%{count} пассажира,%{count} пасажира,%{count} pasażerów,ผู้โดยสาร %{count} ท่าน
etc.passengers.many,%{count} passengers,%{count} пассажиров,%{count} пасажирів,%{count} pasażerów,ผู้โดยสาร %{count} ท่าน
etc.passengers.other,%{count} passengers,%{count} пассажира,%{count} пасажира,%{count} pasażerów,ผู้โดยสาร %{count} ท่าน
etc.contact_us,Call us:,Звоните нам:,Телефонуйте нам:,Zadzwoń do nas:,โทร :
etc.not_found,not found,не найден,не знайдено,nie odnależono,ไม่พบการค้นหา
etc.hide,hide,скрыть,приховати,ukryć,ซ่อน
etc.show,show,показать,показати,rozwiń,แสดง
etc.expired,time is over,время вышло,час вичерпано,czas upłynął,หมดเวลาแล้ว
etc.roll.down,expand,развернуть,розгорнути,rozwinąć,เลื่อนลง
etc.roll.up,collapse,свернуть,згорнути,zwinąć,เลื่อนขึ้น
etc.tickets_count.one,%{count} ticket,%{count} билет,%{count} квиток,%{count} bilet,ตั๋ว %{count} ใบ
etc.tickets_count.few,%{count} tickets,%{count} билета,%{count} квитка,%{count} biletu,ตั๋ว %{count} ใบ
etc.tickets_count.many,%{count} tickets,%{count} билетов,%{count} квитків,%{count} biletów,ตั๋ว %{count} ใบ
etc.tickets_count.other,%{count} tickets,%{count} билета,%{count} квитка,%{count} biletu,ตั๋ว %{count} ใบ
etc.places.one,%{count} place,%{count} место,%{count} місце,,
etc.places.other,%{count} places,%{count} места,%{count} місця,,
etc.document_type.passport,passport,паспорт,паспорт,paszport,หนังสือเดินทาง
etc.document_type.military_card,military ID,военный билет,військовий квиток,książeczka wojskowa,บัตรประจำตัวทหาร
etc.document_type.foreign_document,ID card,иностранный документ,іноземний документ,dowód osobisty,เอกสารต่างประเทศ
etc.document_type.foreign_passport,international passport,заграничный паспорт,закордонний паспорт,paszport zagraniczny,หนังสือเดินทางสากล
etc.document_type.seaman_passport,seaman's book,паспорт моряка,паспорт моряка,dokument tożsamości marynarza,หนังสือคนประจำเรือ
etc.document_type.birth_certificate,birth certificate,свидетельство о рождении,свідоцтво про народження,świadectwo urodzenia,สูติบัตร
etc.gender.male,male,мужской,чоловічий,męska,ชาย
etc.gender.female,female,женский,жіночий,żeńska,หญิง
etc.phone_number,Phone number,Номер телефона,Номер телефона,Numer telefonu,เบอร์โทรศัพท์มือถือ
etc.anchors.buy,purchase,покупка,покупка,zakup,ซื้อ
etc.anchors.book,booking,бронирование,бронювання,rezerwacja,จอง
etc.anchors.return,money back,возврат,повернення,zwrot,คืนเงิน
etc.general_error,"An error ocurred, please try again later","Произошла ошибка, попробуйте позже","Сталась помилка, спробуйте пізніше","Wystąpił błąd, prosimy spróbować później",เกิดข้อผิดพลาดขึ้น กรุณาลองใหม่อีกครั้ง
etc.bus,Bus,Автобус,Автобус,Autobus,รถโดยสาร
etc.close,close,Закрыть,закрити,Zamknij,ใกล้
etc.send,Send,Отправить,Надіслати,Wyślij wiadomość,
etc.carrier,carrier ,перевозчик ,перевізник ,przewoźnik ,พาหะ 
etc.direction_description,Bus ticket %{direction} from %{price_from}.,Билет на автобус %{direction} от %{price_from}.,Квиток на автобус %{direction} від %{price_from}.,Bilet autobusowy %{direction} od %{price_from}.,
disable_with.search,Searching for seats....,Ищем места…,Шукаємо місця...,Trwa wyszukiwanie miejsc...,กำลังค้นห้าที่นั่ง...
disable_with.seats,Booking...,Резервируем…,Резервуємо...,Trwa rezerwacja...,กำลังทำการจอง...
disable_with.preorder,Confirming tickets...,Оформляем билеты…,Оформлюємо квитки...,Trwa wypisywanie biletów...,กำลังยืนยันคำสั่งซื้อ....
disable_with.send_sms,Sending code...,Отправляем код…,Надсилаємо код...,Trwa wysyłanie kodu...,ส่งรหัสยืนยันคำสั่งซื้อ....
disable_with.pay_with_card,Please wait...,Подождите…,Зачекайте...,Proszimy czekać...,กรุณารอสักครู่....
disable_with.sending,Sending data…,Отправляем данные…,Відпрявляємо дані…,Dane przesyłki…,กำลังส่งข้อมูล...
disable_with.wait,Wait…,Подождите…,Зачекайте…,Czekać…,รอ...
nav.orders,My tickets,Мои билеты,Мої квитки,Moje bilety,ตั๋วของฉัน
nav.logged_orders,My tickets [%{phone}],Мои билеты [%{phone}],Мої квитки [%{phone}],Moje bilety [%{phone}],ตั๋วของฉัน [%{phone}]
nav.exit,Log out,Выход,Вихід,Wyjść,ออกจากระบบ
nav.description,BUSFOR,BUSFOR,BUSFOR,"BUSFOR - Rozkład jazdy PKS autobusów, tanie bilety, przewozy autokarowe online",Tickets - plan your next trip!
